_id,lat_x,long_x,id,nombre_x,codigo_x,redesid_x,_id_x,lat_y,long_y,id_x,nombre_y,codigo_y,redesid_y,_id_y,date,validoorig,city,estado,valororig,parametro,estacionesid,id_y,hora,fecha,pronostico
5cccf5bee2705c1932820582,21.88378056,-102.295825,33,Centro,CEN,30,5cccf5bee2705c1932820582,21.88378056,-102.295825,33,Centro,CEN,30,5cccec83e2705c1932679d40,2018-01-30T00:00:00.000Z,1,Aguascalientes,Aguascalientes,0.37554,CO,33,33CO18013000,0,1/30/18,0
5cccf5bee2705c193282058a,32.4975,-116.9769444,47,La Mesa,SPABC03,35,5cccf5bee2705c193282058a,32.4975,-116.9769444,47,La Mesa,SPABC03,35,5cccecb2e2705c19326d7641,2018-01-30T00:00:00.000Z,1,Tijuana,Baja California,5.65276612,CO,47,47CO18013000,0,1/30/18,0
5cccf5bee2705c193282058c,28.632775,-106.0388669,53,SUR,SUR,38,5cccf5bee2705c193282058c,28.632775,-106.0388669,53,SUR,SUR,38,5cccecb7e2705c19326df504,2018-01-30T00:00:00.000Z,1,Chihuahua,Chihuahua -Estatal,1.56,CO,53,53CO18013000,0,1/30/18,0
5cccf5bee2705c193282058e,28.71608333,-106.1333056,55,CIMAV,CIMAV,39,5cccf5bee2705c193282058e,28.71608333,-106.1333056,55,CIMAV,CIMAV,39,5cccecc1e2705c19326f2881,2018-01-30T00:00:00.000Z,1,Chihuahua,Chihuahua - Municipal,1.00E-08,CO,55,55CO18013000,0,1/30/18,1.897076533
5cccf5bee2705c193282058f,25.52269444,-103.3958056,56,CONALEP,CNP,40,5cccf5bee2705c193282058f,25.52269444,-103.3958056,56,CONALEP,CNP,40,5cccecc3e2705c19326f696a,2018-01-30T00:00:00.000Z,1,Torreon,Coahuila,4.8661,CO,56,56CO18013000,0,1/30/18,3.019716533
5cccf5bee2705c1932820593,24.02677778,-104.692975,60,SRNyMA,SRN,42,5cccf5bee2705c1932820593,24.02677778,-104.692975,60,SRNyMA,SRN,42,5cccecd7e2705c1932717bce,2018-01-30T00:00:00.000Z,1,Durango,Durango,4.0136,CO,60,60CO18013000,0,1/30/18,2.609925003
5cccf5bee2705c1932820594,25.55122222,-103.5025278,65,Campestre,CAM,43,5cccf5bee2705c1932820594,25.55122222,-103.5025278,65,Campestre,CAM,43,5cccecdee2705c193272353a,2018-01-30T00:00:00.000Z,1,Gomez Palacio,Durango,104860,CO,65,65CO18013000,0,1/30/18,26217.21993
5cccf5bee2705c1932820596,20.5175,-100.8155556,68,Policia,POL,45,5cccf5bee2705c1932820596,20.5175,-100.8155556,68,Policia,POL,45,5cccece1e2705c1932727f1b,2018-01-30T00:00:00.000Z,1,Celaya,Guanajuato,2.07,CO,68,68CO18013000,0,1/30/18,26217.73743
5cccf5bee2705c1932820598,20.5375,-100.8397222,70,San Juanico,SJ,45,5cccf5bee2705c1932820598,20.5375,-100.8397222,70,San Juanico,SJ,45,5cccece9e2705c1932737c59,2018-01-30T00:00:00.000Z,1,Celaya,Guanajuato,1.7,CO,70,70CO18013000,0,1/30/18,26216.9459
5cccf5bee2705c193282059a,21.11805556,-101.6021667,72,Bomberos,BOM,46,5cccf5bee2705c193282059a,21.11805556,-101.6021667,72,Bomberos,BOM,46,5cccecf3e2705c1932748bb6,2018-01-30T00:00:00.000Z,1,Irapuato,Guanajuato,2.33,CO,72,72CO18013000,0,1/30/18,26216.525
5cccf5bee2705c193282059b,20.65805556,-101.3488889,73,Teodula,TEO,46,5cccf5bee2705c193282059b,20.65805556,-101.3488889,73,Teodula,TEO,46,5cccecf8e2705c1932753573,2018-01-30T00:00:00.000Z,1,Irapuato,Guanajuato,1.7754,CO,73,73CO18013000,0,1/30/18,1.96885
5cccf5bee2705c193282059c,21.10305556,-101.6361111,74,CICEG - Bomberos,CC,47,5cccf5bee2705c193282059c,21.10305556,-101.6361111,74,CICEG - Bomberos,CC,47,5ccced00e2705c19327602f3,2018-01-30T00:00:00.000Z,1,Leon,Guanajuato,0.85,CO,74,74CO18013000,0,1/30/18,1.66385
5cccf5bee2705c193282059d,21.13333333,-101.68,75,Facultad de Medicina,FM,47,5cccf5bee2705c193282059d,21.13333333,-101.68,75,Facultad de Medicina,FM,47,5ccced06e2705c193276ae36,2018-01-30T00:00:00.000Z,1,Leon,Guanajuato,0.3147,CO,75,75CO18013000,0,1/30/18,1.317525
5cccf5bee2705c193282059e,21.10861111,-101.6886111,76,T21,T21,47,5cccf5bee2705c193282059e,21.10861111,-101.6886111,76,T21,T21,47,5ccced0de2705c193277611e,2018-01-30T00:00:00.000Z,1,Leon,Guanajuato,0.6959,CO,76,76CO18013000,0,1/30/18,0.909
5cccf5bee2705c193282059f,20.57861111,-101.1988889,77,Cruz roja,CR,48,5cccf5bee2705c193282059f,20.57861111,-101.1988889,77,Cruz roja,CR,48,5ccced11e2705c193277d622,2018-01-30T00:00:00.000Z,1,Salamanca,Guanajuato,1.9861,CO,77,77CO18013000,0,1/30/18,0.961675
5cccf5bee2705c19328205a0,20.55805556,-101.2047222,78,DIF,DIF,48,5cccf5bee2705c19328205a0,20.55805556,-101.2047222,78,DIF,DIF,48,5ccced18e2705c193278a48b,2018-01-30T00:00:00.000Z,1,Salamanca,Guanajuato,0.8864,CO,78,78CO18013000,0,1/30/18,0.970775
