_id,lat_x,long_x,id,nombre_x,codigo_x,redesid_x,_id_x,lat_y,long_y,id_x,nombre_y,codigo_y,redesid_y,_id_y,date,validoorig,city,estado,valororig,parametro,estacionesid,id_y,hora,fecha,pronostico
5cccf5bee2705c1932820582,21.88378056,-102.295825,33,Centro,CEN,30,5cccf5bee2705c1932820582,21.88378056,-102.295825,33,Centro,CEN,30,5cccec87e2705c193268048d,2018-01-30T00:00:00.000Z,1,Aguascalientes,Aguascalientes,972.16,PM2.5,33,33PM2.518013000,0,1/30/18,0
5cccf5bee2705c1932820583,32.63972222,-115.5063889,39,COBACH,SPABC14,32,5cccf5bee2705c1932820583,32.63972222,-115.5063889,39,COBACH,SPABC14,32,5cccec97e2705c19326a00d0,2018-01-30T00:00:00.000Z,1,Mexicali,Baja California,19.5697135,PM2.5,39,39PM2.518013000,0,1/30/18,0
5cccf5bee2705c1932820589,32.52946111,-116.9212806,46,Laboratorio,SPABC21,35,5cccf5bee2705c1932820589,32.52946111,-116.9212806,46,Laboratorio,SPABC21,35,5cccecb1e2705c19326d54d0,2018-01-30T00:00:00.000Z,1,Tijuana,Baja California,17.1284909,PM2.5,46,46PM2.518013000,0,1/30/18,0
5cccf5bee2705c193282058a,32.4975,-116.9769444,47,La Mesa,SPABC03,35,5cccf5bee2705c193282058a,32.4975,-116.9769444,47,La Mesa,SPABC03,35,5cccecb4e2705c19326db149,2018-01-30T00:00:00.000Z,1,Tijuana,Baja California,11.5806979,PM2.5,47,47PM2.518013000,0,1/30/18,255.1097256
5cccf5bee2705c193282058c,28.632775,-106.0388669,53,SUR,SUR,38,5cccf5bee2705c193282058c,28.632775,-106.0388669,53,SUR,SUR,38,5cccecbae2705c19326e6449,2018-01-30T00:00:00.000Z,1,Chihuahua,Chihuahua -Estatal,28.9,PM2.5,53,53PM2.518013000,0,1/30/18,19.29472558
5cccf5bee2705c193282058f,25.52269444,-103.3958056,56,CONALEP,CNP,40,5cccf5bee2705c193282058f,25.52269444,-103.3958056,56,CONALEP,CNP,40,5cccecc9e2705c19326fdb82,2018-01-30T00:00:00.000Z,1,Torreon,Coahuila,5.2627,PM2.5,56,56PM2.518013000,0,1/30/18,15.7179722
5cccf5bee2705c1932820593,24.02677778,-104.692975,60,SRNyMA,SRN,42,5cccf5bee2705c1932820593,24.02677778,-104.692975,60,SRNyMA,SRN,42,5cccecdbe2705c193271d904,2018-01-30T00:00:00.000Z,1,Durango,Durango,10.303,PM2.5,60,60PM2.518013000,0,1/30/18,14.01159948
5cccf5bee2705c1932820596,20.5175,-100.8155556,68,Policia,POL,45,5cccf5bee2705c1932820596,20.5175,-100.8155556,68,Policia,POL,45,5cccece3e2705c193272d050,2018-01-30T00:00:00.000Z,1,Celaya,Guanajuato,3.47,PM2.5,68,68PM2.518013000,0,1/30/18,11.983925
5cccf5bee2705c1932820598,20.5375,-100.8397222,70,San Juanico,SJ,45,5cccf5bee2705c1932820598,20.5375,-100.8397222,70,San Juanico,SJ,45,5cccecede2705c193273e602,2018-01-30T00:00:00.000Z,1,Celaya,Guanajuato,9.08,PM2.5,70,70PM2.518013000,0,1/30/18,7.028925
5cccf5bee2705c193282059a,21.11805556,-101.6021667,72,Bomberos,BOM,46,5cccf5bee2705c193282059a,21.11805556,-101.6021667,72,Bomberos,BOM,46,5cccecf6e2705c193274f138,2018-01-30T00:00:00.000Z,1,Irapuato,Guanajuato,2.53,PM2.5,72,72PM2.518013000,0,1/30/18,6.34575
5cccf5bee2705c193282059b,20.65805556,-101.3488889,73,Teodula,TEO,46,5cccf5bee2705c193282059b,20.65805556,-101.3488889,73,Teodula,TEO,46,5cccecfde2705c193275ab29,2018-01-30T00:00:00.000Z,1,Irapuato,Guanajuato,3.9988,PM2.5,73,73PM2.518013000,0,1/30/18,4.7697
5cccf5bee2705c193282059d,21.13333333,-101.68,75,Facultad de Medicina,FM,47,5cccf5bee2705c193282059d,21.13333333,-101.68,75,Facultad de Medicina,FM,47,5ccced0ae2705c1932771114,2018-01-30T00:00:00.000Z,1,Leon,Guanajuato,1.6712,PM2.5,75,75PM2.518013000,0,1/30/18,4.32
